styke_id,style_name,description,image_url
,Neo-Traditional,Modern take on traditional tattoo styles with more dimension and detail,
,Neo-Traditional,Modern take on traditional tattoo styles with more dimension and detail,
,Minimal,"Simple, clean designs with minimal detail and shading",
,Abstract,"Non-representational designs focusing on shapes, colors, and forms",
,Dotwork / Pointillism,Tattoos created entirely or primarily using dots,
,Surreal,"Dreamlike, fantastical designs inspired by surrealism art movement",
,New School,"Cartoonish, exaggerated designs with bold outlines and vibrant colors",
,3D / Anaglyph,Tattoos that create optical illusions of depth and dimension,
,Mandala,"Circular, geometric designs originating from spiritual traditions",
,Sketch / Etching / Engraving,Tattoos that mimic hand-drawn sketches or engraved artwork,
,Glitch / Vaporwave,Digital-inspired designs with glitch effects and retro-futuristic aesthetics,
,UV / Blacklight,Tattoos that are visible primarily under ultraviolet light,
,Japanese / Irezumi,Traditional Japanese tattoo art with specific motifs and techniques,
,Ornamental,Decorative patterns and designs inspired by various cultural traditions,
,Blackwork,"Tattoos using solid black ink, often with geometric or pattern-based designs",
,Script / Calligraphy / Gothic,Text-based tattoos featuring various writing styles and fonts,
,Trash Polka,Combination of realistic images and typographic elements with red/black color scheme,
,Watercolor,Tattoos that mimic the appearance of watercolor paintings,
,Pixel / 8-bit,Tattoos inspired by retro video game graphics and pixel art,
,American Traditional (Old School),Classic tattoo style with bold outlines and limited color palette,
,Negative Space,Designs that use the absence of ink to create shapes and patterns,
,Bio-organic,"Organic, biological-looking designs often with surreal or sci-fi elements",
,Anime / Manga,Tattoos inspired by Japanese animation and comic art styles,
,Celtic / Nordic,Tattoos featuring traditional Celtic knots and Norse mythology motifs,
,Biomechanical,"Combination of biological and mechanical elements, often with a sci-fi aesthetic",
,Tribal (Polynesian / Māori / Samoan / Marquesan),Traditional patterns and designs from various indigenous cultures,
,Sticker / Patch,Tattoos designed to look like stickers or fabric patches,
,Black & Grey,"Tattoos using only black and grey ink, often with realistic shading",
,Micro-Realism,"Extremely detailed, small-scale realistic tattoos",
,Realism,Photorealistic tattoos that accurately depict subjects,
,Geometric,"Tattoos based on geometric shapes, patterns, and symmetry",
,Cyberpunk / Futuristic,"Tattoos inspired by futuristic, high-tech, and dystopian themes",
,Comic / Cartoon,Tattoos inspired by comic book art and cartoon styles,
,Linework,Tattoos focusing on clean lines and minimal shading,
,Illustrative,Tattoos that resemble detailed illustrations or drawings,
,Fine Line / Single Needle,Delicate tattoos created with very fine lines using single needles,
,Chicano / Lettering,"Tattoo style originating from Chicano culture, often featuring elaborate lettering",
